Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Datetime,,,,,
2026-03-16 09:00:00+00:00,1248.800048828125,1250.0,1243.5999755859375,1244.9000244140625,1318473
2026-03-16 09:15:00+00:00,1251.800048828125,1254.0,1248.0,1249.0,1137579
2026-03-16 09:30:00+00:00,1252.0999755859375,1253.199951171875,1248.699951171875,1252.5999755859375,1295796
2026-03-16 09:45:00+00:00,1249.800048828125,1252.5999755859375,1244.4000244140625,1252.4000244140625,966965
2026-03-17 03:45:00+00:00,1224.0999755859375,1244.9000244140625,1218.5,1244.9000244140625,670515
2026-03-17 04:00:00+00:00,1223.5999755859375,1224.5,1215.199951171875,1224.0999755859375,726192
2026-03-17 04:15:00+00:00,1230.0999755859375,1230.800048828125,1220.800048828125,1223.699951171875,814220
2026-03-17 04:30:00+00:00,1230.300048828125,1230.4000244140625,1226.5,1230.0,375832
2026-03-17 04:45:00+00:00,1230.699951171875,1233.4000244140625,1230.300048828125,1230.5999755859375,510609
2026-03-17 05:00:00+00:00,1235.0999755859375,1236.199951171875,1230.0,1230.5999755859375,487111
2026-03-17 05:15:00+00:00,1238.0999755859375,1241.0999755859375,1235.0,1235.0,346978
2026-03-17 05:30:00+00:00,1236.0999755859375,1240.800048828125,1235.5,1238.0,200902
2026-03-17 05:45:00+00:00,1230.699951171875,1236.199951171875,1230.4000244140625,1236.0999755859375,316502
2026-03-17 06:00:00+00:00,1232.4000244140625,1233.9000244140625,1229.199951171875,1231.0,188662
2026-03-17 06:15:00+00:00,1233.699951171875,1234.0,1229.4000244140625,1232.5,207855
2026-03-17 06:30:00+00:00,1234.0,1235.0,1232.4000244140625,1233.699951171875,118786
2026-03-17 06:45:00+00:00,1232.0999755859375,1234.800048828125,1230.300048828125,1234.199951171875,131414
2026-03-17 07:00:00+00:00,1232.800048828125,1233.5999755859375,1230.5,1232.300048828125,127549
2026-03-17 07:15:00+00:00,1233.0,1235.9000244140625,1231.800048828125,1232.699951171875,162212
2026-03-17 07:30:00+00:00,1234.0,1234.4000244140625,1232.0999755859375,1233.0,154319
2026-03-17 07:45:00+00:00,1234.199951171875,1235.0,1232.9000244140625,1234.199951171875,300829
2026-03-17 08:00:00+00:00,1232.4000244140625,1235.9000244140625,1231.699951171875,1233.9000244140625,243724
2026-03-17 08:15:00+00:00,1232.0999755859375,1235.0,1231.800048828125,1232.5999755859375,187655
2026-03-17 08:30:00+00:00,1233.800048828125,1235.5999755859375,1231.699951171875,1232.5,286959
2026-03-17 08:45:00+00:00,1231.699951171875,1234.0999755859375,1231.0999755859375,1234.0,185517
2026-03-17 09:00:00+00:00,1232.800048828125,1234.0,1231.199951171875,1232.0,217628
2026-03-17 09:15:00+00:00,1235.9000244140625,1235.9000244140625,1231.800048828125,1232.9000244140625,431235
2026-03-17 09:30:00+00:00,1237.0999755859375,1237.4000244140625,1230.0,1235.9000244140625,1989641
2026-03-17 09:45:00+00:00,1234.0,1237.0999755859375,1229.0,1237.0999755859375,1381484
2026-03-18 03:45:00+00:00,1257.0999755859375,1260.0,1237.4000244140625,1239.5999755859375,620444
2026-03-18 04:00:00+00:00,1269.9000244140625,1269.9000244140625,1254.4000244140625,1257.300048828125,672181
2026-03-18 04:15:00+00:00,1271.5999755859375,1276.0,1268.5,1269.5999755859375,608189
2026-03-18 04:30:00+00:00,1274.5999755859375,1275.5,1271.300048828125,1271.5999755859375,385190
2026-03-18 04:45:00+00:00,1278.0,1280.5999755859375,1274.300048828125,1274.5,540581
2026-03-18 05:00:00+00:00,1276.800048828125,1278.9000244140625,1275.0,1276.4000244140625,223525
2026-03-18 05:15:00+00:00,1282.699951171875,1283.9000244140625,1276.800048828125,1277.0,481726
2026-03-18 05:30:00+00:00,1281.9000244140625,1282.800048828125,1280.0,1282.5,176795
2026-03-18 05:45:00+00:00,1288.199951171875,1288.699951171875,1281.0,1282.0999755859375,380820
2026-03-18 06:00:00+00:00,1288.4000244140625,1290.4000244140625,1285.9000244140625,1288.300048828125,493892
2026-03-18 06:15:00+00:00,1282.5,1289.9000244140625,1282.0,1288.699951171875,345510
2026-03-18 06:30:00+00:00,1281.0,1282.5999755859375,1278.0999755859375,1282.5999755859375,314630
2026-03-18 06:45:00+00:00,1283.0999755859375,1283.800048828125,1280.0,1281.0,588676
2026-03-18 07:00:00+00:00,1285.4000244140625,1286.199951171875,1283.0,1283.0999755859375,535444
2026-03-18 07:15:00+00:00,1283.0,1289.300048828125,1283.0,1285.4000244140625,748889
2026-03-18 07:30:00+00:00,1282.300048828125,1285.0,1280.5,1284.0,205513
2026-03-18 07:45:00+00:00,1282.5,1284.5999755859375,1280.5,1282.4000244140625,304814
2026-03-18 08:00:00+00:00,1281.4000244140625,1284.5,1280.699951171875,1282.5999755859375,258840
2026-03-18 08:15:00+00:00,1280.199951171875,1283.9000244140625,1279.0999755859375,1281.4000244140625,322228
2026-03-18 08:30:00+00:00,1277.5,1281.0999755859375,1276.699951171875,1280.199951171875,313481
2026-03-18 08:45:00+00:00,1276.300048828125,1278.4000244140625,1276.0,1277.0999755859375,221135
2026-03-18 09:00:00+00:00,1272.699951171875,1276.699951171875,1271.5,1276.699951171875,401246
2026-03-18 09:15:00+00:00,1271.300048828125,1274.199951171875,1270.5,1272.699951171875,377136
2026-03-18 09:30:00+00:00,1267.0999755859375,1271.5,1266.699951171875,1271.4000244140625,1166120
2026-03-18 09:45:00+00:00,1267.0999755859375,1267.300048828125,1263.5,1267.0999755859375,1066098
2026-03-19 03:45:00+00:00,1240.800048828125,1253.5,1240.0,1244.0,275605
2026-03-19 04:00:00+00:00,1242.0,1244.699951171875,1239.9000244140625,1240.9000244140625,448085
2026-03-19 04:15:00+00:00,1239.199951171875,1242.0999755859375,1237.699951171875,1241.800048828125,315311
2026-03-19 04:30:00+00:00,1237.4000244140625,1241.199951171875,1237.300048828125,1239.0999755859375,196564
2026-03-19 04:45:00+00:00,1237.5999755859375,1240.9000244140625,1236.5999755859375,1236.800048828125,206958
2026-03-19 05:00:00+00:00,1236.5999755859375,1238.800048828125,1235.5,1237.800048828125,238788
2026-03-19 05:15:00+00:00,1233.199951171875,1236.699951171875,1233.0,1236.5999755859375,265204
